id,pairid,speed,datetime,traveltime
323,10356,42,9/11/14 19:35,446
324,10496,53.7,9/11/14 19:35,268
325,10498,64.6,9/11/14 19:35,78
326,10499,64,9/11/14 19:35,225
327,10360,57.3,9/11/14 19:35,333
328,10364,22.5,9/11/14 19:35,909.998
329,10363,51,9/11/14 19:35,268
330,10361,49.2,9/11/14 19:35,278
331,10357,69.3,9/11/14 19:50,135
332,16981,36,9/11/14 19:50,299.997
333,10356,54.9,9/11/14 19:50,341
334,10496,57.4,9/11/14 19:50,251
335,10498,61.5,9/11/14 19:50,82
336,10499,59.3,9/11/14 19:50,243
337,10360,51.7,9/11/14 19:50,369
338,10364,51.3,9/11/14 19:50,400
339,10363,50.7,9/11/14 19:50,270
340,10361,50.7,9/11/14 19:50,270
341,10357,62,9/11/14 20:05,151
342,16981,14.9,9/11/14 20:05,726.312
343,10356,54.9,9/11/14 20:05,341
344,10496,61.5,9/11/14 20:05,234
345,10498,61.5,9/11/14 20:05,82
346,10499,63.4,9/11/14 20:05,227
347,10360,56.6,9/11/14 20:05,337
348,10364,52.1,9/11/14 20:05,394
349,10363,50.3,9/11/14 20:05,272
350,10361,55.6,9/11/14 20:05,246
351,10357,67.3,9/11/14 20:35,139
352,16981,46.3,9/11/14 20:35,233.35
353,10356,53.2,9/11/14 20:35,352
354,10496,58.1,9/11/14 20:35,248
355,10498,60.7,9/11/14 20:35,83
356,10499,61.5,9/11/14 20:35,234
357,10360,53.6,9/11/14 20:35,356
358,10364,48.2,9/11/14 20:35,426
359,10363,45.6,9/11/14 20:35,300
360,10361,48.5,9/11/14 20:35,282
361,10357,67.3,9/11/14 20:50,139
362,16981,51.1,9/11/14 20:50,211.489
363,10356,54.4,9/11/14 20:50,344
364,10496,58.1,9/11/14 20:50,248
365,10498,62.2,9/11/14 20:50,81
366,10499,62.1,9/11/14 20:50,232
367,10360,54.8,9/11/14 20:50,348
368,10364,50.3,9/11/14 20:50,408
369,10363,45.6,9/11/14 20:50,300
370,10361,53.9,9/11/14 20:50,254
371,10357,64.6,9/11/14 21:05,145
372,16981,47.8,9/11/14 21:05,226.102
373,10356,54.4,9/11/14 21:05,344
374,10496,55,9/11/14 21:05,262
375,10498,59.3,9/11/14 21:05,85
376,10499,64.9,9/11/14 21:05,222
377,10360,56.1,9/11/14 21:05,340
378,10364,47.4,9/11/14 21:05,433
379,10363,49.9,9/11/14 21:05,274
380,10361,52.2,9/11/14 21:05,262
381,10357,66.4,9/11/14 21:20,141
382,16981,47.8,9/11/14 21:20,226.102
383,10356,47.5,9/11/14 21:20,394
384,10496,51.8,9/11/14 21:20,278
385,10498,63.8,9/11/14 21:20,79
386,10499,62.1,9/11/14 21:20,232
387,10360,55.5,9/11/14 21:20,344
388,10364,46.4,9/11/14 21:20,442
389,10363,49.6,9/11/14 21:20,276
390,10361,54.3,9/11/14 21:20,252
391,10357,59.6,9/11/14 21:35,157
392,16981,47,9/11/14 21:35,229.843
393,10356,48.5,9/11/14 21:35,386
394,10496,52.6,9/11/14 21:35,274
395,10498,60.7,9/11/14 21:35,83
396,10499,62.1,9/11/14 21:35,232
397,10360,57.1,9/11/14 21:35,334
398,10364,46.7,9/11/14 21:35,439
399,10363,50.7,9/11/14 21:35,270
400,10361,54.3,9/11/14 21:35,252
401,10357,69.3,9/11/14 21:50,135
402,16981,29.5,9/11/14 21:50,365.954
403,10356,55.7,9/11/14 21:50,336
404,10496,57.6,9/11/14 21:50,250
405,10498,62.2,9/11/14 21:50,81
406,10499,64.9,9/11/14 21:50,222
407,10360,58.9,9/11/14 21:50,324
408,10364,48.3,9/11/14 21:50,425
409,10363,51,9/11/14 21:50,268
410,10361,53.9,9/11/14 21:50,254
411,10357,63.2,9/11/14 22:05,148
412,16981,26.3,9/11/14 22:05,411
413,10356,53.6,9/11/14 22:05,349
414,10496,58.1,9/11/14 22:05,248
415,10498,63.8,9/11/14 22:05,79
416,10499,67,9/11/14 22:05,215
417,10360,57.8,9/11/14 22:05,330
418,10364,50.4,9/11/14 22:05,407
419,10363,48.9,9/11/14 22:05,280
420,10361,49.6,9/11/14 22:05,276
421,10357,59.2,9/11/14 22:35,158
422,16981,20.7,9/11/14 22:35,522.224
423,10356,46.2,9/11/14 22:35,405
424,10496,38.3,9/11/14 22:35,376
425,10498,61.5,9/11/14 22:35,82
426,10499,65.2,9/11/14 22:35,221
427,10360,56.4,9/11/14 22:35,338
428,10364,50.4,9/11/14 22:35,407
429,10363,50.1,9/11/14 22:35,273
430,10361,54.7,9/11/14 22:35,250
431,10357,62.4,9/11/14 22:50,150
432,16981,11.8,9/11/14 22:50,915.301
433,10356,42.1,9/11/14 22:50,445
434,10496,17.4,9/11/14 22:50,828
435,10498,64.6,9/11/14 22:50,78
436,10499,66.7,9/11/14 22:50,216
437,10360,55.3,9/11/14 22:50,345
438,10364,53,9/11/14 22:50,387
439,10363,47.7,9/11/14 22:50,287
440,10361,51.4,9/11/14 22:50,266
441,10357,65,9/11/14 23:05,144
442,16981,4.6,9/11/14 23:05,2373
443,10356,42.1,9/11/14 23:05,445
444,10496,12.9,9/11/14 23:05,1120
445,10498,64.6,9/11/14 23:05,78
446,10499,63.2,9/11/14 23:05,228
447,10360,58.7,9/11/14 23:05,325
448,10364,50.8,9/11/14 23:05,404
449,10363,47.7,9/11/14 23:05,287
450,10361,50.3,9/11/14 23:05,272
451,10357,65,9/11/14 23:20,144
452,16981,9.6,9/11/14 23:20,1123.53
453,10356,19.8,9/11/14 23:20,946.999
454,10496,10.5,9/11/14 23:20,1368
455,10498,61.5,9/11/14 23:20,82
456,10499,63.7,9/11/14 23:20,226
457,10360,57.3,9/11/14 23:20,333
458,10364,50.8,9/11/14 23:20,404
459,10363,47.7,9/11/14 23:20,287
460,10361,47.5,9/11/14 23:20,288
461,10357,65,9/11/14 23:35,144
462,16981,9.2,9/11/14 23:35,1178
463,10356,8.7,9/11/14 23:35,2140.99
464,10496,6.5,9/11/14 23:35,2210.01
465,10498,60,9/11/14 23:35,84
466,10499,67.9,9/11/14 23:35,212
467,10360,48.8,9/11/14 23:35,391
468,10364,50.8,9/11/14 23:35,404
469,10363,31.6,9/11/14 23:35,433
470,10361,46.2,9/11/14 23:35,296
471,10357,66.9,9/11/14 23:50,140
472,16981,14.7,9/11/14 23:50,736.001
473,10356,8.4,9/11/14 23:50,2235.01
474,10496,7.2,9/11/14 23:50,2013.99
475,10498,63,9/11/14 23:50,80
476,10499,58.5,9/11/14 23:50,246
477,10360,54.7,9/11/14 23:50,349
478,10364,33.4,9/11/14 23:50,614
479,10363,23.5,9/11/14 23:50,581
480,10361,49.2,9/11/14 23:50,278
481,10357,64.1,9/12/14 0:05,146
482,16981,10.3,9/12/14 0:05,1053
483,10356,9.5,9/12/14 0:05,1971
484,10496,8.1,9/12/14 0:05,1782
485,10498,60,9/12/14 0:05,84
486,10499,62.6,9/12/14 0:05,230
487,10360,58.7,9/12/14 0:05,325
488,10364,33.4,9/12/14 0:05,614
489,10363,20.6,9/12/14 0:05,663
490,10361,45.6,9/12/14 0:05,300
491,10357,66.9,9/12/14 0:20,140
492,16981,15,9/12/14 0:20,720.855
493,10356,28.8,9/12/14 0:20,648.999
494,10496,25.8,9/12/14 0:20,557.999
495,10498,63,9/12/14 0:20,80
496,10499,62.6,9/12/14 0:20,230
497,10360,59.4,9/12/14 0:20,321
498,10364,14.6,9/12/14 0:20,1404
499,10363,23.5,9/12/14 0:20,581
500,10361,48.2,9/12/14 0:20,284
501,10357,68.8,9/12/14 0:35,136
502,16981,15.3,9/12/14 0:35,704.952
503,10356,30.5,9/12/14 0:35,613.001
504,10496,36.2,9/12/14 0:35,398
505,10498,64.6,9/12/14 0:35,78
506,10499,53.7,9/12/14 0:35,268
507,10360,48.1,9/12/14 0:35,397
508,10364,7.7,9/12/14 0:35,2658
509,10363,22.9,9/12/14 0:35,596.999
510,10361,50.3,9/12/14 0:35,272
511,10357,62.4,9/12/14 0:50,150
512,16981,6,9/12/14 0:50,1791.19
513,10356,48.4,9/12/14 0:50,387
514,10496,50.7,9/12/14 0:50,284
515,10498,66.3,9/12/14 0:50,76
516,10499,63.2,9/12/14 0:50,228
517,10360,50.9,9/12/14 0:50,375
518,10364,14.6,9/12/14 0:50,1404
519,10363,22.9,9/12/14 0:50,596.999
520,10361,49.2,9/12/14 0:50,278
521,10357,70.9,9/12/14 1:05,132
522,16981,24.3,9/12/14 1:05,444.292
523,10356,49.4,9/12/14 1:05,379
524,10496,51.1,9/12/14 1:05,282
525,10498,64.6,9/12/14 1:05,78
526,10499,64.9,9/12/14 1:05,222
527,10360,59.4,9/12/14 1:05,321
528,10364,18.4,9/12/14 1:05,1116
529,10363,22.9,9/12/14 1:05,596.999
530,10361,49.2,9/12/14 1:05,278
531,10357,63.2,9/12/14 1:20,148
532,16981,24.3,9/12/14 1:20,444.292
533,10356,48.4,9/12/14 1:20,387
534,10496,48.6,9/12/14 1:20,296
535,10498,61.5,9/12/14 1:20,82
536,10499,64.9,9/12/14 1:20,222
537,10360,57.3,9/12/14 1:20,333
538,10364,34.9,9/12/14 1:20,587.999
539,10363,28,9/12/14 1:20,488.999
540,10361,49.2,9/12/14 1:20,278
541,10357,59.2,9/12/14 1:35,158
542,16981,44.4,9/12/14 1:35,243
543,10356,48.1,9/12/14 1:35,389
544,10496,48.6,9/12/14 1:35,296
545,10498,63,9/12/14 1:35,80
546,10499,63.7,9/12/14 1:35,226
547,10360,53.1,9/12/14 1:35,359
548,10364,30.6,9/12/14 1:35,671
549,10363,28,9/12/14 1:35,488.999
550,10361,48.2,9/12/14 1:35,284
551,10357,64.1,9/12/14 1:50,146
552,16981,45.2,9/12/14 1:50,238.933
553,10356,48.1,9/12/14 1:50,389
554,10496,49.3,9/12/14 1:50,292
555,10498,58.6,9/12/14 1:50,85.9999
556,10499,61.5,9/12/14 1:50,234
557,10360,48.5,9/12/14 1:50,393
558,10364,30.6,9/12/14 1:50,671
559,10363,28,9/12/14 1:50,488.999
560,10361,48.2,9/12/14 1:50,284
561,10357,68.8,9/12/14 2:05,136
562,16981,38.7,9/12/14 2:05,279
563,10356,48.1,9/12/14 2:05,389
564,10496,49.3,9/12/14 2:05,292
565,10498,64.6,9/12/14 2:05,78
566,10499,67.3,9/12/14 2:05,214
567,10360,55.3,9/12/14 2:05,345
568,10364,30.6,9/12/14 2:05,671
569,10363,30,9/12/14 2:05,456
570,10361,48.2,9/12/14 2:05,284
571,10357,64.1,9/12/14 2:20,146
572,16981,33.8,9/12/14 2:20,319.224
573,10356,48.1,9/12/14 2:20,389
574,10496,49.3,9/12/14 2:20,292
575,10498,64.6,9/12/14 2:20,78
576,10499,66.1,9/12/14 2:20,218
577,10360,55.3,9/12/14 2:20,345
578,10364,30.6,9/12/14 2:20,671
579,10363,30,9/12/14 2:20,456
580,10361,48.2,9/12/14 2:20,284
581,10357,63.2,9/12/14 2:35,148
582,16981,33.8,9/12/14 2:35,319.224
583,10356,45.5,9/12/14 2:35,411
584,10496,49.3,9/12/14 2:35,292
585,10498,64.6,9/12/14 2:35,78
586,10499,64.9,9/12/14 2:35,222
587,10360,50.7,9/12/14 2:35,376
588,10364,34.9,9/12/14 2:35,587.999
589,10363,30,9/12/14 2:35,456
590,10361,42.2,9/12/14 2:35,324
591,10357,65.9,9/12/14 2:50,142
592,16981,29,9/12/14 2:50,373
593,10356,45.5,9/12/14 2:50,411
594,10496,49.5,9/12/14 2:50,291
595,10498,64.6,9/12/14 2:50,78
596,10499,62.6,9/12/14 2:50,230
597,10360,54.5,9/12/14 2:50,350
598,10364,34.9,9/12/14 2:50,587.999
599,10363,19.7,9/12/14 2:50,692.999
600,10361,42.2,9/12/14 2:50,324
601,10357,65.9,9/12/14 3:05,142
