"","pair_id","insert_time","travel_time","time"
"10088712",10356,"2013-09-15 17:25:00","352",2013-09-15 17:25:00
"10088713",10356,"2013-09-15 17:30:00","340",2013-09-15 17:30:00
"10088714",10356,"2013-09-15 17:35:00","332",2013-09-15 17:35:00
"10088715",10356,"2013-09-15 17:40:00","332",2013-09-15 17:40:00
"10088716",10356,"2013-09-15 17:45:00","322",2013-09-15 17:45:00
"10088717",10356,"2013-09-15 17:50:00","338",2013-09-15 17:50:00
"10088718",10356,"2013-09-15 17:55:00","346",2013-09-15 17:55:00
"10088719",10356,"2013-09-15 18:00:00","350",2013-09-15 18:00:00
"10088720",10356,"2013-09-15 18:05:00","346",2013-09-15 18:05:00
"10088721",10356,"2013-09-15 18:11:00","336",2013-09-15 18:11:00
"10088722",10356,"2013-09-15 18:15:00","336",2013-09-15 18:15:00
"10088723",10356,"2013-09-15 18:20:00","344",2013-09-15 18:20:00
"10088724",10356,"2013-09-15 18:25:00","358",2013-09-15 18:25:00
"10088725",10356,"2013-09-15 18:30:00","338",2013-09-15 18:30:00
"10088726",10356,"2013-09-15 18:35:00","338",2013-09-15 18:35:00
"10088727",10356,"2013-09-15 18:40:00","338",2013-09-15 18:40:00
"10088728",10356,"2013-09-15 18:45:00","330",2013-09-15 18:45:00
"10088729",10356,"2013-09-15 18:50:00","327",2013-09-15 18:50:00
"10088730",10356,"2013-09-15 18:55:00","347",2013-09-15 18:55:00
"10088731",10356,"2013-09-15 19:00:00","343",2013-09-15 19:00:00
"10088732",10356,"2013-09-15 19:05:00","343",2013-09-15 19:05:00
"10088733",10356,"2013-09-15 19:10:00","343",2013-09-15 19:10:00
"10088734",10356,"2013-09-15 19:15:00","333",2013-09-15 19:15:00
"10088735",10356,"2013-09-15 19:20:00","363",2013-09-15 19:20:00
"10088736",10356,"2013-09-15 19:25:00","333",2013-09-15 19:25:00
"10088737",10356,"2013-09-15 19:30:00","329",2013-09-15 19:30:00
"10088738",10356,"2013-09-15 19:35:00","345",2013-09-15 19:35:00
"10088739",10356,"2013-09-15 19:40:00","341",2013-09-15 19:40:00
"10088740",10356,"2013-09-15 19:45:00","353",2013-09-15 19:45:00
"10088741",10356,"2013-09-15 19:50:00","354",2013-09-15 19:50:00
"10088742",10356,"2013-09-15 19:55:00","354",2013-09-15 19:55:00
"10088743",10356,"2013-09-15 20:00:00","360",2013-09-15 20:00:00
"10088744",10356,"2013-09-15 20:05:00","360",2013-09-15 20:05:00
"10088745",10356,"2013-09-15 20:10:00","348",2013-09-15 20:10:00
"10088746",10356,"2013-09-15 20:15:00","430",2013-09-15 20:15:00
"10088747",10356,"2013-09-15 20:20:00","430",2013-09-15 20:20:00
"10088748",10356,"2013-09-15 20:25:00","398",2013-09-15 20:25:00
"10088749",10356,"2013-09-15 20:30:00","372",2013-09-15 20:30:00
"10088750",10356,"2013-09-15 20:35:00","370",2013-09-15 20:35:00
"10088751",10356,"2013-09-15 20:40:00","456",2013-09-15 20:40:00
"10088752",10356,"2013-09-15 20:45:00","398",2013-09-15 20:45:00
"10088753",10356,"2013-09-15 20:50:00","374",2013-09-15 20:50:00
"10088754",10356,"2013-09-15 20:55:00","338",2013-09-15 20:55:00
"10088755",10356,"2013-09-15 21:00:00","338",2013-09-15 21:00:00
"10088756",10356,"2013-09-15 21:05:00","379",2013-09-15 21:05:00
"10088757",10356,"2013-09-15 21:10:00","363",2013-09-15 21:10:00
"10088758",10356,"2013-09-15 21:15:00","359",2013-09-15 21:15:00
"10088759",10356,"2013-09-15 21:20:00","361",2013-09-15 21:20:00
